pmt_id,pmt_x,pmt_y,pmt_z
0,1049.0206,0.0,19171.32
1,908.4785,524.5103,19171.32
2,524.5103,908.4785,19171.32
3,6.423399e-14,1049.0206,19171.32
4,-524.5103,908.4785,19171.32
5,-908.4785,524.5103,19171.32
6,-1049.0206,1.2846798e-13,19171.32
7,-908.4785,-524.5103,19171.32
8,-524.5103,-908.4785,19171.32
9,-1.9270197e-13,-1049.0206,19171.32
10,524.5103,-908.4785,19171.32
11,908.4785,-524.5103,19171.32
12,1572.5514,0.0,19135.492
13,1477.715,537.84424,19135.492
14,1204.6443,1010.8166,19135.492
15,786.2757,1361.8695,19135.492
16,273.07068,1548.6608,19135.492
17,-273.07068,1548.6608,19135.492
18,-786.2757,1361.8695,19135.492
19,-1204.6443,1010.8166,19135.492
20,-1477.715,537.84424,19135.492
21,-1572.5514,1.9258201e-13,19135.492
22,-1477.715,-537.84424,19135.492
23,-1204.6443,-1010.8166,19135.492
24,-786.2757,-1361.8695,19135.492
25,-273.07068,-1548.6608,19135.492
26,273.07068,-1548.6608,19135.492
27,786.2757,-1361.8695,19135.492
28,1204.6443,-1010.8166,19135.492
29,1477.715,-537.84424,19135.492
30,2094.9075,0.0,19085.371
31,2029.0922,520.9823,19085.371
32,1835.7814,1009.2294,19085.371
33,1527.1218,1434.0629,19085.371
34,1122.5076,1768.789,19085.371
35,647.362,1992.3754,19085.371
36,131.54033,2090.7737,19085.371
37,-392.5465,2057.801,19085.371
38,-891.9682,1895.5289,19085.371
39,-1335.3442,1614.1539,19085.371
40,-1694.8158,1231.3557,19085.371
41,-1947.7958,771.1869,19085.371
42,-2078.3884,262.56152,19085.371
43,-2078.3884,-262.56152,19085.371
44,-1947.7958,-771.1869,19085.371
45,-1694.8158,-1231.3557,19085.371
46,-1335.3442,-1614.1539,19085.371
47,-891.9682,-1895.5289,19085.371
48,-392.5465,-2057.801,19085.371
49,131.54033,-2090.7737,19085.371
50,647.362,-1992.3754,19085.371
51,1122.5076,-1768.789,19085.371
52,1527.1218,-1434.0629,19085.371
53,1835.7814,-1009.2294,19085.371
54,2029.0922,-520.9823,19085.371
55,2615.6987,0.0,19020.992
56,2562.1553,526.53625,19020.992
57,2403.7168,1031.5161,19020.992
58,2146.8699,1494.2655,19020.992
59,1802.1299,1895.8396,19020.992
60,1383.6105,2219.7976,19020.992
61,908.4459,2452.877,19020.992
62,396.08945,2585.5354,19020.992
63,-132.48297,2612.3416,19020.992
64,-655.63153,2532.198,19020.992
65,-1151.9385,2348.3862,19020.992
66,-1601.0848,2068.4312,19020.992
67,-1984.6826,1703.7942,19020.992
68,-2287.0273,1269.4037,19020.992
69,-2495.7407,783.04376,19020.992
70,-2602.2783,264.62585,19020.992
71,-2602.2783,-264.62585,19020.992
72,-2495.7407,-783.04376,19020.992
73,-2287.0273,-1269.4037,19020.992
74,-1984.6826,-1703.7942,19020.992
75,-1601.0848,-2068.4312,19020.992
76,-1151.9385,-2348.3862,19020.992
77,-655.63153,-2532.198,19020.992
78,-132.48297,-2612.3416,19020.992
79,396.08945,-2585.5354,19020.992
80,908.4459,-2452.877,19020.992
81,1383.6105,-2219.7976,19020.992
82,1802.1299,-1895.8396,19020.992
83,2146.8699,-1494.2655,19020.992
84,2403.7168,-1031.5161,19020.992
85,2562.1553,-526.53625,19020.992
86,3134.5361,0.0,18942.404
87,3089.4485,529.73914,18942.404
88,2955.4834,1044.2386,18942.404
89,2736.4941,1528.6974,18942.404
90,2438.781,1969.1782,18942.404
91,2070.9087,2353.0095,18942.404
92,1643.4601,2669.1487,18942.404
93,1168.732,2908.5017,18942.404
94,660.3818,3064.1821,18942.404
95,133.03348,3131.7117,18942.404
96,-398.14194,3109.1477,18942.404
97,-917.8635,2997.1392,18942.404
98,-1411.1798,2798.9082,18942.404
99,-1863.8992,2520.158,18942.404
100,-2262.9973,2168.9072,18942.404
101,-2596.9934,1755.2611,18942.404
102,-2856.2786,1291.1193,18942.404
103,-3033.3938,789.8343,18942.404
104,-3123.244,265.82724,18942.404
105,-3123.244,-265.82724,18942.404
106,-3033.3938,-789.8343,18942.404
107,-2856.2786,-1291.1193,18942.404
108,-2596.9934,-1755.2611,18942.404
109,-2262.9973,-2168.9072,18942.404
110,-1863.8992,-2520.158,18942.404
111,-1411.1798,-2798.9082,18942.404
112,-917.8635,-2997.1392,18942.404
113,-398.14194,-3109.1477,18942.404
114,133.03348,-3131.7117,18942.404
115,660.3818,-3064.1821,18942.404
116,1168.732,-2908.5017,18942.404
117,1643.4601,-2669.1487,18942.404
118,2070.9087,-2353.0095,18942.404
119,2438.781,-1969.1782,18942.404
120,2736.4941,-1528.6974,18942.404
121,2955.4834,-1044.2386,18942.404
122,3089.4485,-529.73914,18942.404
123,3651.032,0.0,18849.668
124,3612.1243,531.59454,18849.668
125,3496.2305,1051.859,18849.668
126,3305.8206,1549.705,18849.668
127,3044.9526,2014.5216,18849.668
128,2719.187,2436.4023,18849.668
129,2335.4666,2806.3552,18849.668
130,1901.9698,3116.4956,18849.668
131,1427.9358,3360.2134,18849.668
132,923.46783,3532.314,18849.668
133,399.31778,3629.1294,18849.668
134,-133.34308,3648.5962,18849.668
135,-663.1619,3590.2996,18849.668
136,-1178.8467,3455.482,18849.668
137,-1669.4064,3247.0166,18849.668
138,-2124.3855,2969.347,18849.668
139,-2534.0872,2628.3906,18849.668
140,-2889.779,2231.4148,18849.668
141,-3183.8801,1786.8802,18849.668
142,-3410.1226,1304.2614,18849.668
143,-3563.6843,793.84454,18849.668
144,-3641.292,266.50824,18849.668
145,-3641.292,-266.50824,18849.668
146,-3563.6843,-793.84454,18849.668
147,-3410.1226,-1304.2614,18849.668
148,-3183.8801,-1786.8802,18849.668
149,-2889.779,-2231.4148,18849.668
150,-2534.0872,-2628.3906,18849.668
151,-2124.3855,-2969.347,18849.668
152,-1669.4064,-3247.0166,18849.668
153,-1178.8467,-3455.482,18849.668
154,-663.1619,-3590.2996,18849.668
155,-133.34308,-3648.5962,18849.668
156,399.31778,-3629.1294,18849.668
157,923.46783,-3532.314,18849.668
158,1427.9358,-3360.2134,18849.668
159,1901.9698,-3116.4956,18849.668
160,2335.4666,-2806.3552,18849.668
161,2719.187,-2436.4023,18849.668
162,3044.9526,-2014.5216,18849.668
163,3305.8206,-1549.705,18849.668
164,3496.2305,-1051.859,18849.668
165,3612.1243,-531.59454,18849.668
166,4130.6074,532.5829,18742.85
167,3860.4233,1562.9122,18742.85
168,3337.728,2491.011,18742.85
169,2596.7107,3256.172,18742.85
170,1685.8419,3808.3462,18742.85
171,664.7017,4111.415,18742.85
172,-399.91675,4145.5557,18742.85
173,-1438.3766,3908.534,18742.85
174,-2382.7517,3415.8538,18742.85
175,-3171.2705,2699.742,18742.85
176,-3752.3557,1807.0392,18742.85
177,-4087.998,796.1376,18742.85
178,-4156.2437,266.8397,18742.85
179,-4156.2437,-266.8397,18742.85
180,-4087.998,-796.1376,18742.85
181,-3752.3557,-1807.0392,18742.85
182,-3171.2705,-2699.742,18742.85
183,-2382.7517,-3415.8538,18742.85
184,-1438.3766,-3908.534,18742.85
185,-399.91675,-4145.5557,18742.85
186,664.7017,-4111.415,18742.85
187,1685.8419,-3808.3462,18742.85
188,2596.7107,-3256.172,18742.85
189,3337.728,-2491.011,18742.85
190,3860.4233,-1562.9122,18742.85
191,4130.6074,-532.5829,18742.85
192,4675.458,0.0,18622.033
193,4644.9824,532.9621,18622.033
194,4553.952,1058.9762,18622.033
195,4403.5537,1571.1849,18622.033
196,4195.749,2062.911,18622.033
197,3933.2456,2527.7434,18622.033
198,3619.4668,2959.6233,18622.033
199,3258.5024,3352.9197,18622.033
200,2855.0586,3702.5059,18622.033
201,2414.3948,4003.824,18622.033
202,1942.2555,4252.9463,18622.033
203,1444.796,4446.625,18622.033
204,928.5014,4582.335,18622.033
205,400.1024,4658.307,18622.033
206,-133.51262,4673.5513,18622.033
207,-665.3871,4627.8687,18622.033
208,-1188.5872,4521.8545,18622.033
209,-1696.2922,4356.891,18622.033
210,-2181.8835,4135.1294,18622.033
211,-2639.0308,3859.4592,18622.033
212,-3061.774,3533.4756,18622.033
213,-3444.6023,3161.4275,18622.033
214,-3782.5251,2748.1653,18622.033
215,-4071.137,2299.0767,18622.033
216,-4306.6753,1820.0161,18622.033
217,-4486.0693,1317.2288,18622.033
218,-4606.9805,797.26935,18622.033
219,-4667.833,266.91635,18622.033
220,-4667.833,-266.91635,18622.033
221,-4606.9805,-797.26935,18622.033
222,-4486.0693,-1317.2288,18622.033
223,-4306.6753,-1820.0161,18622.033
224,-4071.137,-2299.0767,18622.033
225,-3782.5251,-2748.1653,18622.033
226,-3444.6023,-3161.4275,18622.033
227,-3061.774,-3533.4756,18622.033
228,-2639.0308,-3859.4592,18622.033
229,-2181.8835,-4135.1294,18622.033
230,-1696.2922,-4356.891,18622.033
231,-1188.5872,-4521.8545,18622.033
232,-665.3871,-4627.8687,18622.033
233,-133.51262,-4673.5513,18622.033
234,400.1024,-4658.307,18622.033
235,928.5014,-4582.335,18622.033
236,1444.796,-4446.625,18622.033
237,1942.2555,-4252.9463,18622.033
238,2414.3948,-4003.824,18622.033
239,2855.0586,-3702.5059,18622.033
240,3258.5024,-3352.9197,18622.033
241,3619.4668,-2959.6233,18622.033
242,3933.2456,-2527.7434,18622.033
243,4195.749,-2062.911,18622.033
244,4403.5537,-1571.1849,18622.033
245,4553.952,-1058.9762,18622.033
246,4644.9824,-532.9621,18622.033
247,5182.623,0.0,18487.305
248,5156.0327,524.3173,18487.305
249,5076.5347,1043.2544,18487.305
250,4944.9443,1551.4863,18487.305
251,4762.6123,2043.7979,18487.305
252,4531.409,2515.1372,18487.305
253,4253.7075,2960.668,18487.305
254,3932.3574,3375.818,18487.305
255,3570.656,3756.328,18487.305
256,3172.3147,4098.2925,18487.305
257,2741.4211,4398.2036,18487.305
258,2282.397,4652.983,18487.305
259,1799.9523,4860.016,18487.305
260,1299.0376,5017.179,18487.305
261,784.7931,5122.859,18487.305
262,262.49557,5175.971,18487.305
263,-262.49557,5175.971,18487.305
264,-784.7931,5122.859,18487.305
265,-1299.0376,5017.179,18487.305
266,-1799.9523,4860.016,18487.305
267,-2282.397,4652.983,18487.305
268,-2741.4211,4398.2036,18487.305
269,-3172.3147,4098.2925,18487.305
270,-3570.656,3756.328,18487.305
271,-3932.3574,3375.818,18487.305
272,-4253.7075,2960.668,18487.305
