pmt_id,pmt_x,pmt_y,pmt_z
300000,1384.8104,244.17944,19148.438
300001,1217.7819,703.0867,19148.438
300002,903.87085,1077.1913,19148.438
300003,480.93964,1321.3707,19148.438
300004,8.6103284e-14,1406.1733,19148.438
300005,-480.93964,1321.3707,19148.438
300006,-903.87085,1077.1913,19148.438
300007,-1217.7819,703.0867,19148.438
300008,-1384.8104,244.17944,19148.438
300009,-1384.8104,-244.17944,19148.438
300010,-1217.7819,-703.0867,19148.438
300011,-903.87085,-1077.1913,19148.438
300012,-480.93964,-1321.3707,19148.438
300013,-2.5830987e-13,-1406.1733,19148.438
300014,480.93964,-1321.3707,19148.438
300015,903.87085,-1077.1913,19148.438
300016,1217.7819,-703.0867,19148.438
300017,1384.8104,-244.17944,19148.438
300061,2222.4146,280.75623,19068.877
300062,2082.772,824.62775,19068.877
300064,1427.8795,1726.0099,19068.877
300065,953.7789,2026.8833,19068.877
300066,419.74878,2200.4001,19068.877
300067,-140.65567,2235.658,19068.877
300069,-1200.294,1891.3606,19068.877
300070,-1632.9467,1533.439,19068.877
300071,-1962.9955,1079.1659,19068.877
300072,-2169.702,557.0848,19068.877
300074,-2169.702,-557.0848,19068.877
300075,-1962.9955,-1079.1659,19068.877
300076,-1632.9467,-1533.439,19068.877
300077,-1200.294,-1891.3606,19068.877
300079,-140.65567,-2235.658,19068.877
300080,419.74878,-2200.4001,19068.877
300081,953.7789,-2026.8833,19068.877
300082,1427.8795,-1726.0099,19068.877
300084,2082.772,-824.62775,19068.877
300085,2222.4146,-280.75623,19068.877
300086,2427.1235,246.81433,19044.373
300087,2327.7568,730.3384,19044.373
300088,2133.0913,1183.9623,19044.373
300090,1493.3185,1929.2085,19044.373
300091,1074.4034,2190.3203,19044.373
300093,123.565765,2436.5093,19044.373
300094,-369.42935,2411.5073,19044.373
300096,-1290.482,2070.387,19044.373
300097,-1680.8315,1768.2339,19044.373
300099,-2241.9268,962.0865,19044.373
300100,-2389.701,491.096,19044.373
300102,-2389.701,-491.096,19044.373
300103,-2241.9268,-962.0865,19044.373
300105,-1680.8315,-1768.2339,19044.373
300106,-1290.482,-2070.387,19044.373
300108,-369.42935,-2411.5073,19044.373
300109,123.565765,-2436.5093,19044.373
300111,1074.4034,-2190.3203,19044.373
300112,1493.3185,-1929.2085,19044.373
300114,2133.0913,-1183.9623,19044.373
300115,2327.7568,-730.3384,19044.373
300116,2427.1235,-246.81433,19044.373
300117,2757.4187,280.40207,18998.895
300118,2644.5295,829.7265,18998.895
300119,2423.3733,1345.0819,18998.895
300121,1696.5369,2191.7449,18998.895
300122,1220.6136,2488.3901,18998.895
300124,140.38121,2768.0818,18998.895
300125,-419.70316,2739.6775,18998.895
300127,-1466.0973,2352.1355,18998.895
300128,-1909.5676,2008.864,18998.895
300130,-2547.0193,1093.0121,18998.895
300131,-2714.9036,557.9268,18998.895
300133,-2714.9036,-557.9268,18998.895
300134,-2547.0193,-1093.0121,18998.895
300136,-1909.5676,-2008.864,18998.895
300137,-1466.0973,-2352.1355,18998.895
300139,-419.70316,-2739.6775,18998.895
300140,140.38121,-2768.0818,18998.895
300142,1220.6136,-2488.3901,18998.895
300143,1696.5369,-2191.7449,18998.895
300145,2423.3733,-1345.0819,18998.895
300146,2644.5295,-829.7265,18998.895
300147,2757.4187,-280.40207,18998.895
300148,2959.7383,251.91086,18968.83
300149,2874.592,748.4856,18968.83
300150,2706.749,1223.5277,18968.83
300152,2144.5269,2055.3625,18968.83
300153,1766.3218,2388.2249,18968.83
300154,1337.303,2652.382,18968.83
300156,377.29874,2946.3801,18968.83
300157,-126.06902,2967.763,18968.83
300158,-625.81,2903.7686,18968.83
300160,-1557.423,2529.4158,18968.83
300161,-1962.4943,2229.8267,18968.83
300163,-2593.2356,1448.6683,18968.83
300164,-2800.7603,989.5716,18968.83
300165,-2927.7124,502.00668,18968.83
300167,-2927.7124,-502.00668,18968.83
300168,-2800.7603,-989.5716,18968.83
300169,-2593.2356,-1448.6683,18968.83
300171,-1962.4943,-2229.8267,18968.83
300172,-1557.423,-2529.4158,18968.83
300174,-625.81,-2903.7686,18968.83
300175,-126.06902,-2967.763,18968.83
300176,377.29874,-2946.3801,18968.83
300178,1337.303,-2652.382,18968.83
300179,1766.3218,-2388.2249,18968.83
300180,2144.5269,-2055.3625,18968.83
300182,2706.749,-1223.5277,18968.83
300183,2874.592,-748.4856,18968.83
300184,2959.7383,-251.91086,18968.83
300185,3289.1467,279.94763,18914.1
300186,3194.524,831.78937,18914.1
300187,3008.0005,1359.702,18914.1
300189,2383.205,2284.117,18914.1
300190,1962.9071,2654.0256,18914.1
300191,1486.14,2947.5828,18914.1
300193,419.29074,3274.3018,18914.1
300194,-140.10005,3298.0645,18914.1
300195,-695.46045,3226.9478,18914.1
300197,-1730.7587,2810.9307,18914.1
300198,-2180.9128,2477.9983,18914.1
300200,-2881.8535,1609.8999,18914.1
300201,-3112.4749,1099.7074,18914.1
300202,-3253.5564,557.87823,18914.1
300204,-3253.5564,-557.87823,18914.1
300205,-3112.4749,-1099.7074,18914.1
300206,-2881.8535,-1609.8999,18914.1
300208,-2180.9128,-2477.9983,18914.1
300209,-1730.7587,-2810.9307,18914.1
300211,-695.46045,-3226.9478,18914.1
300212,-140.10005,-3298.0645,18914.1
300213,419.29074,-3274.3018,18914.1
300215,1486.14,-2947.5828,18914.1
300216,1962.9071,-2654.0256,18914.1
300217,2383.205,-2284.117,18914.1
300219,3008.0005,-1359.702,18914.1
300220,3194.524,-831.78937,18914.1
300221,3289.1467,-279.94763,18914.1
300222,3489.588,255.40492,18878.494
300223,3415.2134,760.77124,18878.494
