event_id,nHits
0,8902
1,7305
3,6718
4,5966
5,12744
7,4044
8,10676
9,12134
11,3775
12,5178
13,6847
14,2417
17,4532
18,4464
19,8423
21,10581
22,12466
24,8418
25,2689
27,12061
30,5717
31,12258
33,15653
35,14367
36,9581
37,11031
38,4928
39,3427
40,2396
41,10425
42,12463
43,10074
44,11842
45,9760
47,5893
48,5566
50,13260
54,13021
55,14640
56,9605
58,2822
59,5031
61,11808
62,3834
63,13785
66,16200
68,10848
70,5390
71,2493
72,6384
73,13458
75,13841
76,8529
77,5766
79,11058
81,7991
82,15234
83,7525
84,2245
86,15147
87,9430
88,6898
90,12421
91,16211
92,15383
93,9158
95,7640
97,8839
98,15308
99,16772
100,8872
102,5330
104,9654
107,13335
108,12854
109,6398
110,12042
111,3720
112,5831
114,8891
116,14471
117,8338
119,2483
120,6006
121,14955
122,16369
123,5123
124,8506
127,3165
129,5180
131,4250
132,3110
133,13372
134,3406
136,8150
137,4664
138,3149
141,14279
142,12470
145,5740
146,16327
147,13799
148,10674
150,9686
155,7598
156,10905
157,6732
158,2570
160,9568
161,7498
162,4032
163,5347
164,15567
168,10338
169,15249
170,6285
171,13592
174,2258
175,11980
177,6723
178,11200
180,15269
182,3836
185,16197
186,14799
187,7899
188,15933
189,12088
190,16100
192,15905
193,13566
194,9279
195,4868
197,9010
198,13283
200,6771
201,3469
204,11554
205,10801
206,4421
209,6733
211,7062
213,9024
215,12211
216,4019
217,3040
218,3082
219,14915
223,15813
225,12719
227,14428
228,6372
229,13795
230,3398
231,16637
232,15546
233,5216
235,6844
236,3345
237,9359
238,15463
240,9121
241,3464
243,9899
245,10974
246,3635
247,6993
248,6979
251,5824
253,3363
254,7603
256,9002
258,5554
259,4530
262,16054
263,7396
264,13247
265,5042
266,8814
268,12794
269,9544
270,5846
271,13277
273,4566
275,7553
276,9318
278,12205
279,10768
280,11739
282,6575
284,10321
285,15305
286,10704
287,7706
288,14942
289,3543
291,12275
292,10577
293,9840
296,8765
297,12807
298,14715
299,5554
300,7162
301,7352
303,8900
305,9651
307,3375
309,6729
311,5171
312,14199
314,16951
316,8913
317,9677
319,13334
320,12495
323,3979
324,9127
325,16788
326,12065
327,8381
328,13122
330,2819
331,11247
332,5530
333,8302
334,11478
335,2940
338,15369
339,8119
341,8173
344,7693
346,8506
348,8140
349,2088
350,4750
351,4903
353,5444
355,5884
356,15280
357,5670
358,3093
359,10919
360,11574
361,8431
362,11108
363,13471
364,10466
367,3461
368,14331
369,2567
374,7058
375,10639
376,6127
377,11031
383,4884
384,4080
385,13526
386,6776
387,12932
388,5320
389,7505
392,9622
393,16561
394,11874
395,9556
396,2240
397,5338
398,17071
399,9789
400,13230
401,7893
403,10255
404,12528
405,11766
406,12811
407,9555
409,11731
410,10096
412,11670
413,7062
414,2189
416,11604
